Date,Open,High,Low,Close,Volume,Adj Close
2016-03-07,0.811,0.95,0.79,0.94,6200,0.94
2016-03-04,0.90,0.90,0.90,0.90,000,0.90
2016-03-03,0.90,0.90,0.90,0.90,000,0.90
2016-03-02,1.01,1.01,0.90,0.90,900,0.90
2016-03-01,0.876,0.876,0.751,0.761,12300,0.761
2016-02-29,0.901,0.901,0.90,0.90,5400,0.90
2016-02-26,1.09,1.19,1.00,1.056,19100,1.056
2016-02-25,0.762,1.00,0.75,1.00,800,1.00
2016-02-24,0.80,0.81,0.701,0.701,13600,0.701
2016-02-23,0.88,0.88,0.88,0.88,1000,0.88
2016-02-22,1.08,1.08,0.913,0.95,7700,0.95
2016-02-19,1.14,1.14,1.14,1.14,100,1.14
2016-02-18,0.95,0.95,0.95,0.95,000,0.95
2016-02-17,0.95,0.95,0.95,0.95,000,0.95
2016-02-16,0.95,0.95,0.95,0.95,100,0.95
2016-02-12,0.99,0.99,0.99,0.99,000,0.99
2016-02-11,0.99,0.99,0.99,0.99,000,0.99
2016-02-10,1.005,1.02,0.99,0.99,1100,0.99
2016-02-09,1.21,1.21,1.21,1.21,100,1.21
2016-02-08,1.10,1.10,1.10,1.10,000,1.10
2016-02-05,1.10,1.10,0.98,1.10,2300,1.10
2016-02-04,1.10,1.10,1.10,1.10,200,1.10
2016-02-03,1.00,1.00,0.90,1.00,6300,1.00
2016-02-02,1.05,1.05,0.962,1.00,7000,1.00
2016-02-01,1.05,1.05,0.99,1.00,12700,1.00
2016-01-29,1.13,1.13,1.13,1.13,100,1.13
2016-01-28,1.20,1.20,1.15,1.15,3200,1.15
2016-01-27,0.975,1.18,0.904,1.15,5200,1.15
2016-01-26,0.89,1.05,0.80,1.05,15400,1.05
2016-01-25,0.80,0.90,0.80,0.90,300,0.90
2016-01-22,1.01,1.01,0.81,0.94,3400,0.94
2016-01-21,0.97,1.03,0.70,1.03,5800,1.03
2016-01-20,1.02,1.09,0.97,1.09,4300,1.09
2016-01-19,1.02,1.09,1.02,1.07,5600,1.07
2016-01-15,1.35,1.35,1.015,1.07,4400,1.07
2016-01-14,1.34,1.35,1.15,1.23,1600,1.23
2016-01-13,1.271,1.337,1.271,1.337,600,1.337
2016-01-12,1.11,1.11,1.10,1.10,2500,1.10
2016-01-11,1.27,1.27,1.10,1.10,15900,1.10
2016-01-08,1.35,1.35,1.26,1.30,7700,1.30
2016-01-07,1.45,1.45,1.45,1.45,300,1.45
2016-01-06,1.47,1.47,1.47,1.47,000,1.47
2016-01-05,1.47,1.47,1.47,1.47,000,1.47
2016-01-04,1.47,1.47,1.47,1.47,000,1.47
2015-12-31,1.476,1.476,1.40,1.47,1900,1.47
2015-12-30,1.68,1.695,1.40,1.526,4200,1.526
2015-12-29,1.66,1.72,1.504,1.60,10200,1.60
2015-12-28,1.54,1.54,1.25,1.32,2900,1.32
2015-12-24,1.08,1.47,1.08,1.45,2900,1.45
2015-12-23,1.50,1.55,1.50,1.50,9600,1.50
2015-12-22,1.78,1.78,1.17,1.611,15300,1.611
2015-12-21,1.66,1.75,1.64,1.75,5000,1.75
2015-12-18,2.00,2.00,1.85,1.889,1500,1.889
2015-12-17,1.97,1.97,1.85,1.92,5900,1.92
2015-12-16,2.17,2.17,2.17,2.17,000,2.17
2015-12-15,2.00,2.17,2.00,2.17,2100,2.17
2015-12-14,2.00,2.15,1.95,2.15,3200,2.15
2015-12-11,2.02,2.035,2.02,2.035,500,2.035
2015-12-10,2.10,2.19,2.10,2.19,3800,2.19
2015-12-09,2.20,2.20,2.20,2.20,000,2.20
2015-12-08,2.20,2.20,2.20,2.20,000,2.20
2015-12-07,2.20,2.20,2.20,2.20,000,2.20
2015-12-04,2.007,2.20,2.007,2.20,1100,2.20
2015-12-03,2.244,2.32,2.244,2.32,300,2.32
2015-12-02,2.33,2.35,2.15,2.15,14900,2.15
2015-12-01,1.75,2.23,1.735,2.23,25200,2.23
2015-11-30,1.66,1.66,1.66,1.66,000,1.66
2015-11-27,1.66,1.66,1.66,1.66,000,1.66
2015-11-25,2.00,2.00,1.654,1.66,4400,1.66
2015-11-24,1.51,1.60,1.51,1.60,1200,1.60
2015-11-23,1.65,1.65,1.65,1.65,200,1.65
2015-11-20,1.68,1.68,1.68,1.68,100,1.68
2015-11-19,1.60,1.63,1.60,1.62,1500,1.62
2015-11-18,1.60,1.699,1.39,1.699,6500,1.699
2015-11-17,1.70,1.70,1.68,1.68,600,1.68
2015-11-16,1.70,1.70,1.68,1.70,2700,1.70
2015-11-13,2.30,2.30,1.72,1.74,14900,1.74
2015-11-12,2.21,2.21,2.08,2.15,3300,2.15
2015-11-11,2.41,2.42,2.32,2.32,2300,2.32
2015-11-10,2.35,2.35,2.35,2.35,000,2.35
2015-11-09,2.35,2.35,2.35,2.35,000,2.35
2015-11-06,2.35,2.35,2.35,2.35,000,2.35
2015-11-05,2.35,2.37,2.35,2.35,800,2.35
2015-11-04,2.41,2.43,2.39,2.39,1900,2.39
2015-11-03,2.55,2.55,2.55,2.55,000,2.55
2015-11-02,2.51,2.55,2.50,2.55,1000,2.55
2015-10-30,2.80,2.80,2.54,2.54,1500,2.54
2015-10-29,2.63,2.63,2.63,2.63,100,2.63
2015-10-28,2.63,2.63,2.63,2.63,300,2.63
2015-10-27,2.63,2.65,2.63,2.65,1200,2.65
2015-10-26,2.54,2.65,2.54,2.63,2500,2.63
2015-10-23,2.70,2.70,2.40,2.68,300,2.68
2015-10-22,2.68,2.68,2.68,2.68,000,2.68
2015-10-21,2.68,2.68,2.68,2.68,000,2.68
2015-10-20,2.68,2.68,2.68,2.68,000,2.68
2015-10-19,2.68,2.68,2.68,2.68,000,2.68
2015-10-16,2.68,2.68,2.68,2.68,300,2.68
2015-10-15,2.54,2.65,2.54,2.65,2200,2.65
2015-10-14,2.48,2.60,2.47,2.60,2200,2.60
2015-10-13,2.32,2.32,2.22,2.32,1700,2.32
2015-10-12,2.48,2.48,2.48,2.48,000,2.48
2015-10-09,2.54,2.54,2.38,2.48,600,2.48
2015-10-08,2.46,2.46,2.46,2.46,000,2.46
2015-10-07,2.46,2.46,2.46,2.46,300,2.46
2015-10-06,2.17,2.38,2.17,2.38,2900,2.38
2015-10-05,2.17,2.17,2.17,2.17,100,2.17
2015-10-02,2.17,2.282,2.17,2.282,400,2.282
2015-10-01,2.35,2.35,2.22,2.23,400,2.23
2015-09-30,2.40,2.40,2.37,2.37,800,2.37
2015-09-29,2.112,2.112,2.112,2.112,000,2.112
2015-09-28,2.10,2.112,2.02,2.112,1600,2.112
2015-09-25,2.31,2.31,2.01,2.01,900,2.01
2015-09-24,2.10,2.17,2.10,2.17,1200,2.17
2015-09-23,2.00,2.385,2.00,2.385,300,2.385
2015-09-22,2.15,2.15,2.15,2.15,000,2.15
2015-09-21,2.15,2.15,2.15,2.15,000,2.15
2015-09-18,2.16,2.16,2.15,2.15,400,2.15
2015-09-17,2.01,2.18,2.01,2.15,2100,2.15
2015-09-16,1.99,2.30,1.99,2.13,8300,2.13
2015-09-15,2.00,2.00,1.98,1.98,1200,1.98
2015-09-14,2.14,2.17,2.05,2.05,4000,2.05
2015-09-11,2.21,2.21,2.20,2.20,1300,2.20
2015-09-10,2.42,2.42,2.42,2.42,000,2.42
2015-09-09,2.50,2.50,2.42,2.42,200,2.42
2015-09-08,2.20,2.40,2.20,2.38,7900,2.38
2015-09-04,2.05,2.13,2.05,2.13,500,2.13
2015-09-03,2.12,2.12,2.12,2.12,2100,2.12
2015-09-02,2.25,2.25,2.24,2.24,200,2.24
2015-09-01,2.22,2.22,2.22,2.22,100,2.22
2015-08-31,2.48,2.48,2.28,2.40,1700,2.40
2015-08-28,2.47,2.65,2.45,2.52,5900,2.52
2015-08-27,2.303,2.80,2.30,2.60,5300,2.60
2015-08-26,2.65,2.70,2.45,2.70,2100,2.70
2015-08-25,2.386,2.59,2.37,2.583,2000,2.583
2015-08-24,2.65,2.65,2.42,2.60,1800,2.60
2015-08-21,2.65,2.67,2.42,2.60,2400,2.60
2015-08-20,2.71,2.82,2.70,2.82,9500,2.82
2015-08-19,2.445,2.79,2.445,2.79,300,2.79
2015-08-18,2.35,2.69,2.35,2.69,4500,2.69
2015-08-17,2.43,2.50,2.389,2.389,1700,2.389
2015-08-14,2.27,2.27,2.25,2.27,1400,2.27
2015-08-13,2.21,2.36,2.21,2.30,10900,2.30
2015-08-12,1.90,2.19,1.90,2.19,4500,2.19
2015-08-11,1.98,2.14,1.95,2.10,2600,2.10
2015-08-10,1.88,2.16,1.88,2.12,2000,2.12
2015-08-07,1.90,2.00,1.63,1.95,4800,1.95
2015-08-06,2.84,2.84,1.90,1.99,13400,1.99
2015-08-05,2.84,2.84,2.60,2.60,300,2.60
2015-08-04,2.70,2.88,2.50,2.58,21200,2.58
2015-08-03,3.10,3.10,2.58,2.75,9900,2.75
2015-07-31,3.08,3.227,3.08,3.20,2400,3.20
2015-07-30,3.20,3.20,3.20,3.20,000,3.20
2015-07-29,3.10,3.20,3.09,3.20,500,3.20
2015-07-28,3.21,3.21,3.08,3.08,1800,3.08
2015-07-27,3.40,3.60,3.08,3.32,19600,3.32
2015-07-24,3.25,3.34,3.10,3.23,4800,3.23
2015-07-23,3.26,3.40,3.26,3.33,10300,3.33
2015-07-22,3.44,3.44,3.313,3.39,6400,3.39
2015-07-21,3.20,3.69,2.88,3.28,82900,3.28
2015-07-20,3.60,3.60,3.05,3.15,4400,3.15
2015-07-17,3.33,3.46,3.272,3.40,2500,3.40
2015-07-16,3.60,3.70,3.30,3.45,8600,3.45
2015-07-15,3.37,3.53,3.37,3.52,11200,3.52
2015-07-14,3.60,3.60,3.45,3.50,18300,3.50
2015-07-13,3.47,3.65,3.407,3.59,12800,3.59
2015-07-10,3.40,3.745,3.38,3.51,18500,3.51
2015-07-09,3.32,3.82,3.32,3.49,26100,3.49
2015-07-08,3.24,3.50,3.06,3.30,10800,3.30
2015-07-07,3.40,3.55,3.05,3.41,13600,3.41
2015-07-06,3.70,3.70,3.35,3.54,34000,3.54
2015-07-02,3.681,3.99,3.40,3.80,24200,3.80
2015-07-01,5.00,5.00,3.31,3.53,101700,3.53
2015-06-30,5.32,5.97,4.69,4.85,34300,4.85
2015-06-29,5.25,5.30,4.56,4.85,14500,4.85
2015-06-26,5.50,5.74,5.21,5.50,11300,5.50
2015-06-25,5.70,5.95,5.55,5.55,6200,5.55
2015-06-24,6.00,6.39,5.70,5.85,15800,5.85
2015-06-23,6.99,6.99,6.10,6.10,6200,6.10
2015-06-22,6.61,6.75,6.03,6.10,17700,6.10
2015-06-19,7.37,7.65,5.61,6.62,51000,6.62
2015-06-18,5.95,7.42,5.599,7.24,132600,7.24
2015-06-17,8.81,9.25,5.45,5.75,117000,5.75
2015-06-16,11.42,11.50,7.25,9.11,66000,9.11
2015-06-15,14.54,14.594,9.81,11.00,36900,11.00
2015-06-12,21.90,21.90,13.75,15.19,20200,15.19
2015-06-11,20.50,20.50,19.049999,19.85,1400,19.85
2015-06-10,24.90,24.90,19.969999,20.459999,3000,20.459999
2015-06-09,27.99,27.99,18.85,22.90,10100,22.90
